,main1,main2,main3,main4,main5,main6,bonus,times,date
406,01,02,04,16,36,37,40,第406回,2008年8月7日
407,11,18,19,30,37,39,38,第407回,2008年8月14日
408,12,20,23,28,31,32,39,第408回,2008年8月21日
409,06,13,17,27,28,36,33,第409回,2008年8月28日
410,02,12,16,20,42,43,28,第410回,2008年9月4日
411,02,04,06,24,35,39,34,第411回,2008年9月11日
412,02,06,07,09,16,19,33,第412回,2008年9月18日
413,02,14,15,26,35,37,25,第413回,2008年9月25日
414,01,02,04,05,09,25,15,第414回,2008年10月2日
415,09,28,33,34,37,43,41,第415回,2008年10月9日
416,12,15,22,24,29,37,06,第416回,2008年10月16日
417,03,20,23,30,31,37,06,第417回,2008年10月23日
418,03,12,16,25,32,36,34,第418回,2008年10月30日
419,05,08,16,25,26,30,01,第419回,2008年11月6日
420,14,19,21,28,29,31,24,第420回,2008年11月13日
421,02,06,08,10,25,34,31,第421回,2008年11月20日
422,05,06,07,08,28,38,36,第422回,2008年11月27日
423,01,02,03,30,35,36,21,第423回,2008年12月4日
424,03,13,17,25,40,41,04,第424回,2008年12月11日
425,02,03,12,20,34,43,04,第425回,2008年12月18日
426,06,08,09,29,32,37,04,第426回,2008年12月25日
427,05,12,13,33,39,42,20,第427回,2009年1月8日
428,08,16,18,35,42,43,13,第428回,2009年1月15日
429,17,25,29,33,37,42,07,第429回,2009年1月22日
430,01,08,18,26,34,42,21,第430回,2009年1月29日
431,01,05,19,20,35,41,33,第431回,2009年2月5日
432,08,20,23,24,42,43,16,第432回,2009年2月12日
433,03,09,11,24,26,34,25,第433回,2009年2月19日
434,03,12,19,33,35,36,37,第434回,2009年2月26日
435,02,11,12,28,35,37,27,第435回,2009年3月5日
436,04,12,21,22,27,38,31,第436回,2009年3月12日
437,02,05,11,21,23,43,15,第437回,2009年3月19日
438,03,09,16,17,20,31,42,第438回,2009年3月26日
439,11,14,20,28,32,41,27,第439回,2009年4月2日
440,09,23,29,30,31,39,18,第440回,2009年4月9日
441,10,18,33,34,39,41,21,第441回,2009年4月16日
442,02,23,26,35,41,42,38,第442回,2009年4月23日
443,06,10,21,22,23,35,05,第443回,2009年4月30日
444,05,13,16,18,24,32,30,第444回,2009年5月7日
445,10,20,23,26,37,40,09,第445回,2009年5月14日
446,03,08,17,26,27,36,13,第446回,2009年5月21日
447,15,23,29,36,42,43,34,第447回,2009年5月28日
448,09,23,32,35,39,42,37,第448回,2009年6月4日
449,19,20,21,23,27,32,24,第449回,2009年6月11日
450,15,20,21,32,40,42,27,第450回,2009年6月18日
451,06,14,16,19,26,39,21,第451回,2009年6月25日
452,01,05,25,27,29,40,19,第452回,2009年7月2日
453,07,17,19,27,35,40,41,第453回,2009年7月9日
454,02,16,18,27,42,43,12,第454回,2009年7月16日
455,11,20,26,28,30,43,24,第455回,2009年7月23日
456,03,07,15,25,30,39,22,第456回,2009年7月30日
457,10,12,27,32,34,43,42,第457回,2009年8月6日
458,01,18,27,30,36,40,05,第458回,2009年8月13日
459,11,13,27,31,37,43,30,第459回,2009年8月20日
460,18,22,23,32,35,40,07,第460回,2009年8月27日
461,08,10,13,30,32,42,12,第461回,2009年9月3日
462,02,04,06,16,31,33,05,第462回,2009年9月10日
463,10,13,16,25,30,42,28,第463回,2009年9月17日
464,10,21,22,25,27,37,36,第464回,2009年9月24日
465,06,24,27,30,32,38,13,第465回,2009年10月1日
466,01,04,19,28,34,40,14,第466回,2009年10月8日
467,18,19,20,24,32,43,41,第467回,2009年10月15日
468,09,17,26,30,34,40,33,第468回,2009年10月22日
469,10,12,20,35,40,43,28,第469回,2009年10月29日
470,01,11,17,23,38,43,18,第470回,2009年11月5日
471,02,13,14,22,23,32,34,第471回,2009年11月12日
472,10,17,28,30,36,42,05,第472回,2009年11月19日
473,06,16,17,22,34,37,26,第473回,2009年11月26日
474,12,15,19,25,28,41,18,第474回,2009年12月3日
475,05,09,10,27,33,42,02,第475回,2009年12月10日
476,07,17,22,30,36,40,02,第476回,2009年12月17日
477,12,14,16,18,38,41,17,第477回,2009年12月24日
478,11,14,23,30,31,38,42,第478回,2010年1月7日
479,05,07,14,17,20,27,03,第479回,2010年1月14日
480,02,05,17,18,35,38,34,第480回,2010年1月21日
481,02,09,11,24,25,34,20,第481回,2010年1月28日
482,04,30,31,36,37,38,19,第482回,2010年2月4日
483,02,08,15,24,33,35,30,第483回,2010年2月11日
484,13,19,25,29,32,35,42,第484回,2010年2月18日
485,14,26,30,33,34,39,19,第485回,2010年2月25日
486,16,25,27,29,34,41,06,第486回,2010年3月4日
487,02,06,08,19,22,34,30,第487回,2010年3月11日
488,05,15,29,34,39,42,06,第488回,2010年3月18日
489,06,08,12,30,33,43,36,第489回,2010年3月25日
490,05,09,13,28,34,40,10,第490回,2010年4月1日
491,07,09,20,27,31,34,33,第491回,2010年4月8日
492,01,08,12,20,23,37,10,第492回,2010年4月15日
493,08,26,30,36,41,42,20,第493回,2010年4月22日
494,08,16,19,23,26,31,06,第494回,2010年4月29日
